epoch,avg_loss,accuracy
1,2.07716739,0.095238
2,1.98647937,0.714286
3,1.89920307,0.714286
4,1.81545357,0.714286
5,1.73531417,0.714286
6,1.65883278,0.714286
7,1.58602064,0.714286
8,1.51685349,0.714286
9,1.45127491,0.714286
10,1.38920117,0.714286
11,1.33052682,0.714286
12,1.27513030,0.714286
13,1.22287896,0.714286
14,1.17363337,0.714286
15,1.12725071,0.714286
16,1.08358731,0.714286
17,1.04250061,0.714286
18,1.00385052,0.714286
19,0.96750038,0.714286
20,0.93331769,0.714286
21,0.90117460,0.714286
22,0.87094831,0.714286
23,0.84252124,0.714286
24,0.81578127,0.714286
25,0.79062181,0.714286
26,0.76694178,0.714286
27,0.74464564,0.714286
28,0.72364332,0.714286
29,0.70385003,0.714286
30,0.68518621,0.714286
31,0.66757730,0.714286
32,0.65095353,0.714286
33,0.63524974,0.714286
34,0.62040514,0.714286
35,0.60636309,0.714286
36,0.59307083,0.714286
37,0.58047931,0.714286
38,0.56854289,0.714286
39,0.55721918,0.714286
40,0.54646878,0.714286
41,0.53625510,0.714286
42,0.52654415,0.714286
43,0.51730438,0.714286
44,0.50850646,0.714286
45,0.50012315,0.714286
46,0.49212916,0.714286
47,0.48450095,0.714286
48,0.47721666,0.714286
49,0.47025593,0.714286
50,0.46359984,0.714286
